street,coordinates
«Урал»,"[(56.1485142, 54.6635783), (56.144738, 54.6623145), (56.1390535, 54.660415), (56.1380661, 54.6600982), (56.1370687, 54.6597926), (56.1350435, 54.6592042), (56.1343296, 54.6590047), (56.1260376, 54.6567872), (56.1210465, 54.6554625)]"
,"[(56.0197024, 54.7520617), (56.0192925, 54.7519514), (56.0190868, 54.7519065), (56.0183697, 54.7517557), (56.0172559, 54.7515423)]"
проспект Салавата Юлаева,"[(56.0197024, 54.7520617), (56.0171946, 54.7507559), (56.0158137, 54.749753)]"
проспект Салавата Юлаева,"[(55.9986523, 54.7310652), (55.9978455, 54.7306345), (55.9968786, 54.7301222), (55.9966923, 54.7300167)]"
проспект Салавата Юлаева,"[(55.965385, 54.7182916), (55.9643316, 54.717964), (55.9631284, 54.7174964), (55.9625275, 54.717245), (55.961885, 54.7169037), (55.9616633, 54.7167613), (55.9611457, 54.7163819), (55.9604545, 54.7159032)]"
улица Баязита Бикбая,"[(56.0492096, 54.7724649), (56.0494472, 54.7724153)]"
Сипайловская улица,"[(56.0492096, 54.7724649), (56.0490346, 54.7721968)]"
улица Седова,"[(56.0774891, 54.7924477), (56.0774164, 54.7927261), (56.0774127, 54.7927473), (56.077123, 54.7943921), (56.0770494, 54.7948101), (56.0769231, 54.7955278), (56.0768129, 54.7961537)]"
"['Маршала Жукова улица', 'улица Маршала Жукова']","[(56.0774891, 54.7924477), (56.0774193, 54.7920142), (56.0774293, 54.7918926), (56.077897, 54.7891078), (56.0779259, 54.78881), (56.0779173, 54.7884709), (56.0778184, 54.7878149), (56.0776834, 54.7874633), (56.0772688, 54.7868212), (56.0768781, 54.7863676), (56.0762983, 54.7857337), (56.0759608, 54.7853514), (56.0745773, 54.7838722)]"
Сельская Богородская улица,"[(56.0774891, 54.7924477), (56.0778466, 54.7924665), (56.0779663, 54.7924684), (56.0780162, 54.7924634), (56.0790023, 54.792364)]"
улица Баязита Бикбая,"[(56.0568093, 54.7697167), (56.0569463, 54.7696244)]"
улица Баязита Бикбая,"[(56.0568093, 54.7697167), (56.0565991, 54.7698402)]"
улица Маршала Жукова,"[(56.0568093, 54.7697167), (56.0565656, 54.7695916), (56.055394, 54.7689187), (56.0549588, 54.7686883), (56.0537336, 54.7680139), (56.0511289, 54.7665736), (56.0493845, 54.7656356), (56.049122, 54.7654891)]"
Сельская Богородская улица,"[(56.0937673, 54.7907601), (56.0960501, 54.7905155)]"
Сельская Богородская улица,"[(56.0937673, 54.7907601), (56.0917049, 54.7909884), (56.0902996, 54.7911442), (56.0885378, 54.7913295), (56.0859232, 54.7916452)]"
,"[(56.0937673, 54.7907601), (56.0937302, 54.7906556), (56.0937377, 54.7906458), (56.0940221, 54.7902764), (56.0973899, 54.7870803), (56.0980089, 54.7866606), (56.0988656, 54.7861885), (56.0991467, 54.7860308), (56.0994233, 54.7859194), (56.1008644, 54.7858073), (56.1023752, 54.7855675), (56.1025031, 54.7856141)]"
улица Ахметова,"[(55.8856422, 54.7853849), (55.885762, 54.7852009)]"
Запорожский переулок,"[(55.8856422, 54.7853849), (55.8854024, 54.7853111), (55.8848996, 54.7851565), (55.8841374, 54.7849322)]"
улица Ахметова,"[(55.8856422, 54.7853849), (55.8846981, 54.7868202), (55.8837176, 54.7875224)]"
улица Ахметова,"[(55.8913347, 54.7768539), (55.8909709, 54.7772978), (55.8900623, 54.778631)]"
улица Ахметова,"[(55.8913347, 54.7768539), (55.8912607, 54.7767781), (55.8913369, 54.7766156), (55.8916954, 54.7760226), (55.8920461, 54.7754318)]"
проспект Дружбы Народов,"[(55.8913347, 54.7768539), (55.8916375, 54.7765192), (55.89201, 54.7762178), (55.8923301, 54.7760016), (55.8928398, 54.7757026)]"
,"[(55.9735485, 54.7497803), (55.9738719, 54.7494615), (55.9740015, 54.7493017), (55.9741016, 54.7491579), (55.9742164, 54.7489315), (55.9742268, 54.7488795)]"
,"[(55.9735485, 54.7497803), (55.9737758, 54.7493951), (55.9738854, 54.7491674), (55.9739249, 54.7490596), (55.9739336, 54.7489507), (55.9739206, 54.7488827), (55.9738773, 54.748799), (55.9737524, 54.7486959), (55.9736779, 54.7486468), (55.9735587, 54.7485817), (55.9734395, 54.7485448), (55.9733028, 54.7485403), (55.9730547, 54.7485375)]"
улица Мусы Валитова,"[(55.958069, 54.7940356), (55.9579742, 54.7940761), (55.9561528, 54.7948533)]"
улица Независимости,"[(55.958069, 54.7940356), (55.9573191, 54.7934503), (55.9565703, 54.79285)]"
улица Независимости,"[(55.958069, 54.7940356), (55.9597379, 54.7953218), (55.96044, 54.7959565), (55.9609586, 54.7964452), (55.9615534, 54.7973579)]"
Туманная улица,"[(55.9494412, 54.7863284), (55.9492946, 54.7863589), (55.9481411, 54.7875223)]"
Алексеевское шоссе,"[(55.9494412, 54.7863284), (55.9494091, 54.7861737), (55.9493436, 54.7856891), (55.9493136, 54.785467), (55.9491608, 54.7849891)]"
Алексеевское шоссе,"[(55.9494412, 54.7863284), (55.9495387, 54.7870626), (55.9496243, 54.7883592)]"
Демское шоссе,"[(55.8471788, 54.7048736), (55.8474133, 54.7048849), (55.8492717, 54.705153), (55.85128, 54.7054277), (55.8537336, 54.7056789), (55.8544276, 54.7056855), (55.8550449, 54.7056216), (55.8554471, 54.7055472), (55.8557032, 54.7054835), (55.8559449, 54.7054055), (55.8565203, 54.7051643), (55.8567812, 54.705007), (55.8570675, 54.7047901), (55.8573112, 54.704519), (55.8584132, 54.7029725), (55.8588324, 54.7024292), (55.8591498, 54.7020515), (55.8594093, 54.701825), (55.8596038, 54.7017063), (55.8600748, 54.7014766), (55.8604157, 54.701332), (55.8607693, 54.7012158), (55.8612021, 54.7011072), (55.8616869, 54.7010324), (55.8622373, 54.7009657), (55.8652376, 54.7006627)]"
Центральная улица,"[(55.8471788, 54.7048736), (55.8466216, 54.704218), (55.8460747, 54.703606), (55.8458948, 54.7034577), (55.845808, 54.7033845), (55.8455076, 54.703117), (55.8450742, 54.7029136)]"
улица Правды,"[(55.8471788, 54.7048736), (55.8465251, 54.7047906), (55.8449373, 54.7045635)]"
Демское шоссе,"[(55.9099387, 54.7002538), (55.9020445, 54.6991102), (55.9002942, 54.6988607)]"
Демское шоссе,"[(55.9099387, 54.7002538), (55.9117988, 54.700284), (55.9125827, 54.7002955), (55.912955, 54.7003009), (55.9161799, 54.7003528), (55.9167335, 54.7003649), (55.9172486, 54.700381), (55.9202057, 54.7005167)]"
Демское шоссе,"[(55.9228069, 54.7005881), (55.9202057, 54.7005167)]"
Демское шоссе,"[(55.9228069, 54.7005881), (55.9300673, 54.7007062)]"
,"[(55.9228069, 54.7005881), (55.9227344, 54.7001479), (55.9220776, 54.6999531), (55.9212393, 54.6996834), (55.920254, 54.699224), (55.9194935, 54.6988494), (55.9192786, 54.6988284), (55.9189345, 54.6990451), (55.918784, 54.6992434), (55.918638, 54.6995825)]"
улица Левитана,"[(55.8253779, 54.6970997), (55.8249041, 54.6968696)]"
Новороссийская улица,"[(55.8253779, 54.6970997), (55.8256352, 54.6969494)]"
Новороссийская улица,"[(55.8253779, 54.6970997), (55.8253495, 54.6971285), (55.8251615, 54.697319), (55.8248253, 54.6977736), (55.8240841, 54.6988954)]"
Новороссийская улица,"[(55.8278132, 54.6954197), (55.8275318, 54.6956265), (55.8271961, 54.6958745), (55.8266918, 54.6962236), (55.8257326, 54.6968874), (55.8256352, 54.6969494)]"
Центральная улица,"[(55.8278132, 54.6954197), (55.8290824, 54.6959844), (55.829527, 54.6961834), (55.830413, 54.6965793), (55.8310452, 54.6968624)]"
Центральная улица,"[(55.8278132, 54.6954197), (55.8269134, 54.6950245), (55.8266011, 54.694887), (55.825765, 54.6945191), (55.8234509, 54.6934969), (55.8227002, 54.6931687), (55.8225362, 54.6930943), (55.8212144, 54.6925161), (55.8199175, 54.6919404)]"
Новороссийская улица,"[(55.8256352, 54.6969494), (55.8253779, 54.6970997)]"
Новороссийская улица,"[(55.8256352, 54.6969494), (55.8257326, 54.6968874), (55.8266918, 54.6962236), (55.8271961, 54.6958745), (55.8275318, 54.6956265), (55.8278132, 54.6954197)]"
улица Левитана,"[(55.8256352, 54.6969494), (55.826317, 54.6972929), (55.8271065, 54.6976698)]"
Новороссийская улица,"[(55.8212741, 54.7038876), (55.8214956, 54.7033519)]"
Новороссийская улица,"[(55.8212741, 54.7038876), (55.8209841, 54.7045848)]"
Малая Кольцевая улица,"[(55.8212741, 54.7038876), (55.8222057, 54.704022), (55.8222645, 54.7040155), (55.8223137, 54.7039901), (55.8224122, 54.7037648)]"
Малая Кольцевая улица,"[(55.8212741, 54.7038876), (55.8211277, 54.7038661), (55.819238, 54.7035874), (55.8192038, 54.7035695), (55.8191898, 54.7035409), (55.81927, 54.7033196)]"
Новороссийская улица,"[(55.8222412, 54.7016047), (55.8219894, 54.7021968)]"
Гатчинская улица,"[(55.8222412, 54.7016047), (55.8220772, 54.7015742), (55.8205811, 54.7013577), (55.8197438, 54.7012443), (55.8193613, 54.7011925), (55.819114, 54.7011561)]"
Новороссийская улица,"[(55.8222412, 54.7016047), (55.82242, 54.7013514), (55.8224679, 54.7012841)]"
Оренбургская улица,"[(55.9840838, 54.739209), (55.9838006, 54.7393249)]"
проспект Октября,"[(55.9840838, 54.739209), (55.9843989, 54.7393992), (55.9849914, 54.73985)]"
улица Александра Невского,"[(56.0895809, 54.8133299), (56.0896482, 54.8134143)]"
Первомайская улица,"[(56.0895809, 54.8133299), (56.0899671, 54.813227), (56.0909763, 54.8129132), (56.0918078, 54.8126758), (56.0921663, 54.8125734), (56.0930013, 54.812335), (56.0931249, 54.8122997), (56.0947552, 54.8118343), (56.0952634, 54.8116892)]"
улица Александра Невского,"[(56.0895809, 54.8133299), (56.0894942, 54.813232), (56.0888853, 54.8125278), (56.0884173, 54.8119811), (56.0883751, 54.8119318), (56.0880413, 54.811542), (56.0874454, 54.810846), (56.0872687, 54.8106528)]"
улица Космонавтов,"[(56.0576396, 54.8175389), (56.0577793, 54.8175546), (56.0578072, 54.8175577), (56.059854, 54.817766), (56.0600452, 54.8178453)]"
улица Комарова,"[(56.0576396, 54.8175389), (56.0576469, 54.8175131), (56.0578465, 54.8167362), (56.057868, 54.8163159), (56.0567383, 54.8129944), (56.0567018, 54.8128854)]"
